Date,Close
4/18/2019,24.4
4/22/2019,24.99
4/23/2019,25.85
4/24/2019,26.8
4/25/2019,28.8
4/26/2019,29.85
4/29/2019,34.26
4/30/2019,30.98
5/1/2019,31.23
5/2/2019,29.74
5/3/2019,28.36
5/6/2019,29.5
5/7/2019,28.69
5/8/2019,29.51
5/9/2019,28.75
5/10/2019,29.05
5/13/2019,26.63
5/14/2019,28.99
5/15/2019,28.63
5/16/2019,30.86
5/17/2019,26.7
5/20/2019,25.85
5/21/2019,25.41
5/22/2019,24.6
5/23/2019,23.8
5/24/2019,25.5
5/28/2019,25.8
5/29/2019,25.58
5/30/2019,25.51
5/31/2019,24.92
6/3/2019,24.4
6/4/2019,24.2
6/5/2019,24.94
6/6/2019,25.81
6/7/2019,27.61
6/10/2019,27.94
6/11/2019,26.48
6/12/2019,27.05
6/13/2019,26.95
6/14/2019,27.41
6/17/2019,27.85
6/18/2019,28.8
6/19/2019,28.09
6/20/2019,27.54
6/21/2019,27.98
6/24/2019,26.69
6/25/2019,26.14
6/26/2019,26.23
6/27/2019,27.23
6/28/2019,27.22
7/1/2019,26.68
7/2/2019,26.91
7/3/2019,27.47
7/5/2019,27.25
7/8/2019,26.77
7/9/2019,26.72
7/10/2019,26.58
7/11/2019,26.1
7/12/2019,26.41
7/15/2019,26.67
7/16/2019,26.51
7/17/2019,25.91
7/18/2019,25.78
7/19/2019,25.56
7/22/2019,26.22
7/23/2019,26.78
7/24/2019,27.82
7/25/2019,27.59
7/26/2019,27.64
7/29/2019,27.86
7/30/2019,28.62
7/31/2019,28.99
8/1/2019,28.3
8/2/2019,33.57
8/5/2019,33.72
8/6/2019,32.68
8/7/2019,32.1
8/8/2019,33.39
8/9/2019,33.43
8/12/2019,33.62
8/13/2019,33.62
8/14/2019,32.23
8/15/2019,32.01
8/16/2019,32.22
8/19/2019,33.33
8/20/2019,34.36
8/21/2019,36.56
8/22/2019,35.43
8/23/2019,34.5
8/26/2019,35.38
8/27/2019,33.86
8/28/2019,33.92
8/29/2019,34.76
8/30/2019,34.42
9/3/2019,33.81
9/4/2019,32.62
9/5/2019,31.26
9/6/2019,30.36
9/9/2019,28.2
9/10/2019,28.8
9/11/2019,29.6
9/12/2019,29.77
9/13/2019,29.04
9/16/2019,29.26
9/17/2019,30.11
9/18/2019,29.5
9/19/2019,30.14
9/20/2019,30.22
9/23/2019,28.55
9/24/2019,27.11
9/25/2019,27.11
9/26/2019,27.38
9/27/2019,26.5
9/30/2019,26.45
10/1/2019,26.43
10/2/2019,26.51
10/3/2019,27.37
10/4/2019,27.31
10/7/2019,26.51
10/8/2019,25.63
10/9/2019,25.65
10/10/2019,25.79
10/11/2019,26.89
10/14/2019,25.92
10/15/2019,25.57
10/16/2019,25.74
